NRODOC,Establecimiento,FechaPresentacion,FechaCarga,Archivo,Filas
475,112038,06/07/2026,2026-08-03 00:52,LIQD_112038_475_20260706.pdf,14
475,112038,06/07/2026,2026-08-03 00:53,LIQD_112038_475_20260706.pdf,14
475,112038,06/07/2026,2026-08-03 01:10,LIQD_112038_475_20260706.pdf,14
475,112038,06/07/2026,2026-08-03 01:12,LIQD_112038_475_20260706.pdf,14
475,112038,06/07/2026,2026-08-03 01:12,LIQD_112038_475_20260706.pdf,14
475,112038,06/07/2026,2026-08-03 01:19,LIQD_112038_475_20260706.pdf,14
475,112038,06/07/2026,2026-08-03 01:20,LIQD_112038_475_20260706.pdf,14
493,112038,24/07/2026,2026-08-03 13:24,LIQD_112038_493_20260724.pdf,13
501,112038,01/08/2026,2026-08-03 14:19,LIQD_112038_501_20260801.pdf,20
500,112038,31/07/2026,2026-08-03 14:19,LIQD_112038_500_20260731.pdf,13
499,112038,30/07/2026,2026-08-03 14:19,LIQD_112038_499_20260730.pdf,15
502,112038,02/08/2026,2026-08-14 13:57,LIQD_112038_502_20260802.pdf,19
503,112038,03/08/2026,2026-08-14 13:57,LIQD_112038_503_20260803.pdf,13
504,112038,04/08/2026,2026-08-14 13:57,LIQD_112038_504_20260804.pdf,13
505,112038,05/08/2026,2026-08-14 13:57,LIQD_112038_505_20260805.pdf,12
506,112038,06/08/2026,2026-08-14 13:57,LIQD_112038_506_20260806.pdf,13
507,112038,07/08/2026,2026-08-14 13:57,LIQD_112038_507_20260807.pdf,12
508,112038,08/08/2026,2026-08-14 13:57,LIQD_112038_508_20260808.pdf,18
509,112038,09/08/2026,2026-08-14 13:57,LIQD_112038_509_20260809.pdf,19
510,112038,10/08/2026,2026-08-14 13:57,LIQD_112038_510_20260810.pdf,14
511,112038,11/08/2026,2026-08-14 13:57,LIQD_112038_511_20260811.pdf,13
512,112038,12/08/2026,2026-08-14 13:57,LIQD_112038_512_20260812.pdf,14
513,112038,13/08/2026,2026-08-14 13:57,LIQD_112038_513_20260813.pdf,15
514,112038,14/08/2026,2026-08-28 13:28,LIQD_112038_514_20260814.pdf,12
515,112038,15/08/2026,2026-08-28 13:28,LIQD_112038_515_20260815.pdf,19
516,112038,16/08/2026,2026-08-28 13:28,LIQD_112038_516_20260816.pdf,20
517,112038,17/08/2026,2026-08-28 13:28,LIQD_112038_517_20260817.pdf,13
518,112038,18/08/2026,2026-08-28 13:28,LIQD_112038_518_20260818.pdf,15
519,112038,19/08/2026,2026-08-28 13:28,LIQD_112038_519_20260819.pdf,15
520,112038,20/08/2026,2026-08-28 13:28,LIQD_112038_520_20260820.pdf,16
521,112038,21/08/2026,2026-08-28 13:28,LIQD_112038_521_20260821.pdf,15
522,112038,22/08/2026,2026-08-28 13:28,LIQD_112038_522_20260822.pdf,18
523,112038,23/08/2026,2026-08-28 13:28,LIQD_112038_523_20260823.pdf,22
524,112038,24/08/2026,2026-08-28 13:28,LIQD_112038_524_20260824.pdf,13
525,112038,25/08/2026,2026-08-28 13:28,LIQD_112038_525_20260825.pdf,16
